subdomain_key,subdomain_label,procedure_code,procedure_title,field,operation_group,operation_key,agency,submission_methods,processing_time_values,document_group_count,result_count,raw_data_available,source_url
khai_sinh,Khai sinh,1.000110,Thủ tục đăng ký khai sinh có yếu tố nước ngoài tại khu vực biên giới,Hộ tịch,khai_sinh_co_yeu_to_nuoc_ngoai_bien_gioi,thu_tuc_dang_ky_khai_sinh_co_yeu_to_nuoc_ngoai_tai_khu_vuc_bien_gioi,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,1 ngày | 1 ngày | 1 ngày,4,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-380a-702c-892d-dedfddd22f02
khai_sinh,Khai sinh,1.000689,"Thủ tục đăng ký khai sinh kết hợp đăng ký nhận cha, mẹ, con",Hộ tịch,khai_sinh_ket_hop_nhan_cha_me_con,thu_tuc_dang_ky_khai_sinh_ket_hop_dang_ky_nhan_cha_me_con,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,3 ngày | 3 ngày | 3 ngày,3,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-3faf-768a-9224-9cb889436133
khai_sinh,Khai sinh,1.000893,"Thủ tục đăng ký khai sinh có yếu tố nước ngoài cho người đã có hồ sơ, giấy tờ cá nhân",Hộ tịch,khai_sinh_cho_nguoi_da_co_ho_so_co_yeu_to_nuoc_ngoai,thu_tuc_dang_ky_khai_sinh_co_yeu_to_nuoc_ngoai_cho_nguoi_da_co_ho_so_giay_to_ca_nhan,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,5 ngày | 5 ngày | 5 ngày,4,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-3faf-768a-9224-a27e812b1907
khai_sinh,Khai sinh,1.001020,Thủ tục đăng ký khai sinh cho trẻ em sinh ra ở nước ngoài và có quốc tịch Việt Nam,Hộ tịch,khai_sinh_cho_tre_sinh_o_nuoc_ngoai,thu_tuc_dang_ky_khai_sinh_cho_tre_em_sinh_ra_o_nuoc_ngoai_va_co_quoc_tich_viet_nam,,Trực tiếp,1 ngày làm việc,2,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-e9ed-7699-8e8f-77f37e22b6d2
khai_sinh,Khai sinh,1.001193,Thủ tục đăng ký khai sinh,Hộ tịch,dang_ky_khai_sinh,thu_tuc_dang_ky_khai_sinh,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,1 ngày | 1 ngày | 1 ngày,4,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-3fe0-70ac-b9d6-5e9e20d6eef7
khai_sinh,Khai sinh,1.001695,"Thủ tục đăng ký khai sinh kết hợp đăng ký nhận cha, mẹ, con có yếu tố nước ngoài",Hộ tịch,khai_sinh_ket_hop_nhan_cha_me_con_co_yeu_to_nuoc_ngoai,thu_tuc_dang_ky_khai_sinh_ket_hop_dang_ky_nhan_cha_me_con_co_yeu_to_nuoc_ngoai,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,10 ngày | 10 ngày | 10 ngày,3,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-47b0-7285-b035-456104e16436
khai_sinh,Khai sinh,1.003583,Thủ tục đăng ký khai sinh lưu động,Hộ tịch,dang_ky_khai_sinh_luu_dong,thu_tuc_dang_ky_khai_sinh_luu_dong,,Trực tiếp,5 ngày làm việc,2,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-66dc-714a-90a8-11942739ea86
khai_sinh,Khai sinh,1.004772,"Thủ tục đăng ký khai sinh cho người đã có hồ sơ, giấy tờ cá nhân",Hộ tịch,khai_sinh_cho_nguoi_da_co_ho_so,thu_tuc_dang_ky_khai_sinh_cho_nguoi_da_co_ho_so_giay_to_ca_nhan,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,5 ngày | 5 ngày | 5 ngày,4,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-6711-733d-b674-fc3d805e70c8
khai_sinh,Khai sinh,1.004884,Thủ tục đăng ký lại khai sinh,Hộ tịch,dang_ky_lai_khai_sinh,thu_tuc_dang_ky_lai_khai_sinh,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,5 ngày | 5 ngày | 5 ngày,3,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-6eac-7598-b88b-15f8a61b366a
khai_sinh,Khai sinh,2.000522,Thủ tục đăng ký lại khai sinh có yếu tố nước ngoài,Hộ tịch,dang_ky_lai_khai_sinh,thu_tuc_dang_ky_lai_khai_sinh_co_yeu_to_nuoc_ngoai,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,5 ngày | 5 ngày | 5 ngày,3,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-867a-70eb-bc54-effd523ebc99
