subdomain_key,subdomain_label,procedure_code,procedure_title,field,operation_group,operation_key,agency,submission_methods,processing_time_values,document_group_count,result_count,raw_data_available,source_url
chuyen_muc_dich_su_dung,Chuyển mục đích sử dụng,1.013992,Đăng ký biến động chuyển mục đích sử dụng đất không phải xin phép cơ quan nhà nước có thẩm quyền,Đất đai,dang_ky_bien_dong_khong_xin_phep,dang_ky_bien_dong_chuyen_muc_dich_su_dung_dat_khong_phai_xin_phep_co_quan_nha_nuoc_co_tham_quyen,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,7 ngày làm việc | 7 ngày làm việc | 7 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfa-8676-77f3-ba25-0b6137011577
chuyen_muc_dich_su_dung,Chuyển mục đích sử dụng,1.115708,Chuyển mục đích sử dụng đất,Đất đai,xin_chuyen_muc_dich_su_dung_dat,chuyen_muc_dich_su_dung_dat,Sở Nông nghiệp và Môi trường - tỉnh Lạng Sơn,Trực tiếp | Trực tuyến | Dịch vụ bưu chính,15 ngày | 15 ngày | 15 ngày,0,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f63ef-b671-73f9-a552-b97d1e124372
chuyen_nhuong_tang_cho_thua_ke,"Chuyển nhượng, tặng cho, thừa kế",1.013831,"Đăng ký biến động quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất trong các trường hợp chuyển đổi quyền sử dụng đất nông nghiệp mà không theo phương án dồn điền, đổi thửa; chuyển nhượng, thừa kế, tặng cho quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất, góp vốn bằng quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất; cho thuê, cho thuê lại quyền sử dụng đất trong dự án xây dựng kinh doanh kết cấu hạ tầng; bán hoặc tặng cho hoặc để thừa kế hoặc góp vốn bằng tài sản gắn liền với đất thuê của Nhà nước theo hình thức thuê đất trả tiền hàng năm",Đất đai,dang_ky_bien_dong_chuyen_quyen,dang_ky_bien_dong_quyen_su_dung_dat_quyen_so_huu_tai_san_gan_lien_voi_dat_trong_cac_truong_hop_chuyen_doi_quyen_su_dung_dat_nong_nghiep_ma_khong_theo_phuong_an_don_dien_doi_thua_chuyen_nhuong_thua_ke_tang_cho_quyen_su_dung_dat_quyen_so_huu_tai_san_gan_lien_voi_dat_gop_von_bang_quyen_su_dung_dat_quyen_so_huu_tai_san_gan_lien_voi_dat_cho_thue_cho_thue_lai_quyen_su_dung_dat_trong_du_an_xay_dung_kinh_doanh_ket_cau_ha_tang_ban_hoac_tang_cho_hoac_de_thua_ke_hoac_gop_von_bang_tai_san_gan_lien_voi_dat_thue_cua_nha_nuoc_theo_hinh_thuc_thue_dat_tra_tien_hang_nam,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,18 ngày làm việc | 4 ngày làm việc | 18 ngày làm việc,2,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfa-7ece-728d-9b60-6563e0a7a94e
chuyen_nhuong_tang_cho_thua_ke,"Chuyển nhượng, tặng cho, thừa kế",1.014365,"Đăng ký tách thửa, hợp thửa đất đồng thời với chuyển quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất cho cá nhân",Đất đai,tach_thua_gan_chuyen_quyen,dang_ky_tach_thua_hop_thua_dat_dong_thoi_voi_chuyen_quyen_su_dung_dat_quyen_so_huu_tai_san_gan_lien_voi_dat_cho_ca_nhan,Văn phòng đăng ký đất đai; Chi nhánh Văn phòng đăng ký đất đai khu vực,Trực tiếp | Trực tuyến | Dịch vụ bưu chính,20 ngày làm việc | 20 ngày làm việc | 20 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019ed4dc-a97e-74c5-a740-1a0f18755a29
cung_cap_dien_nang,Cung cấp điện năng,2.002676,"Thông báo phát triển nguồn điện mặt trời mái nhà tự sản xuất, tự tiêu thụ đấu nối với hệ thống điện quốc gia tại cấp điện áp từ trung áp trở lên",Điện lực,thong_bao_dien_mat_troi_mai_nha,thong_bao_phat_trien_nguon_dien_mat_troi_mai_nha_tu_san_xuat_tu_tieu_thu_dau_noi_voi_he_thong_dien_quoc_gia_tai_cap_dien_ap_tu_trung_ap_tro_len,Ủy ban nhân dân cấp tỉnh,Trực tuyến | Trực tiếp,N/A | N/A,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-4a87-7090-b1ef-912455a58d65
cung_cap_dien_nang,Cung cấp điện năng,3.000001,Cấp điện mới từ lưới điện hạ áp,Dịch vụ cung cấp điện mới,cap_dien_moi,cap_dien_moi_tu_luoi_dien_ha_ap,Tập đoàn Điện lực Việt Nam,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2c00-00a0-75db-8219-126b09678eaf
dang_ky_quyen_so_huu_quyen_su_dung,"Đăng ký quyền sở hữu, quyền sử dụng",1.012783,"Cấp đổi Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất",Đất đai,cap_doi_giay_chung_nhan,cap_doi_giay_chung_nhan_quyen_su_dung_dat_quyen_so_huu_tai_san_gan_lien_voi_dat,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,15 ngày làm việc | 20 ngày làm việc | 5 ngày làm việc,1,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfa-6f3b-7238-9e41-307101b01795
dang_ky_quyen_so_huu_quyen_su_dung,"Đăng ký quyền sở hữu, quyền sử dụng",1.012784,Tách thửa hoặc hợp thửa đất.,Đất đai,tach_hop_thua,tach_thua_hoac_hop_thua_dat,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,12 ngày làm việc | 12 ngày làm việc | 22 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfa-6f5d-72e6-9a68-ab8e3ba11c8b
dang_ky_quyen_so_huu_quyen_su_dung,"Đăng ký quyền sở hữu, quyền sử dụng",1.012786,Cấp lại Giấy chứng nhận do bị mất,Đất đai,cap_lai_giay_chung_nhan,cap_lai_giay_chung_nhan_do_bi_mat,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,10 ngày làm việc | 10 ngày làm việc | 20 ngày làm việc,2,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfa-76c7-75db-b936-ff88fe49d880
dang_ky_quyen_so_huu_quyen_su_dung,"Đăng ký quyền sở hữu, quyền sử dụng",1.012790,Đính chính Giấy chứng nhận đã cấp.,Đất đai,dinh_chinh_giay_chung_nhan,dinh_chinh_giay_chung_nhan_da_cap,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,8 ngày làm việc | 8 ngày làm việc | 18 ngày làm việc,1,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfa-76cb-741b-996e-2fec707cd623
dang_ky_quyen_so_huu_quyen_su_dung,"Đăng ký quyền sở hữu, quyền sử dụng",1.013978,"Đăng ký đất đai, tài sản gắn liền với đất, cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất lần đầu đối với hộ gia đình, cá nhân, cộng đồng dân cư, người gốc Việt Nam định cư ở nước ngoài",Đất đai,dang_ky_lan_dau,dang_ky_dat_dai_tai_san_gan_lien_voi_dat_cap_giay_chung_nhan_quyen_su_dung_dat_quyen_so_huu_tai_san_gan_lien_voi_dat_lan_dau_doi_voi_ho_gia_dinh_ca_nhan_cong_dong_dan_cu_nguoi_goc_viet_nam_dinh_cu_o_nuoc_ngoai,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,17 ngày làm việc | 20 ngày làm việc | 27 ngày làm việc,3,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfa-8678-770b-8917-1872078767cd
gop_von_the_chap,"Góp vốn, thế chấp",1.011441,"Đăng ký biện pháp bảo đảm bằng quyền sử dụng đất, tài sản gắn liền với đất",Đăng ký biện pháp bảo đảm,dang_ky_bien_phap_bao_dam,dang_ky_bien_phap_bao_dam_bang_quyen_su_dung_dat_tai_san_gan_lien_voi_dat,Văn phòng Đăng ký đất đai,Trực tuyến | Trực tiếp | Dịch vụ bưu chính,3 ngày làm việc | 3 ngày làm việc | 3 ngày làm việc,10,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-7e5d-7318-a451-84198f210213
gop_von_the_chap,"Góp vốn, thế chấp",1.011442,"Đăng ký thay đổi biện pháp bảo đảm bằng quyền sử dụng đất, tài sản gắn liền với đất",Đăng ký biện pháp bảo đảm,thay_doi_bien_phap_bao_dam,dang_ky_thay_doi_bien_phap_bao_dam_bang_quyen_su_dung_dat_tai_san_gan_lien_voi_dat,Văn phòng Đăng ký đất đai,Trực tuyến | Trực tiếp | Dịch vụ bưu chính,3 ngày làm việc | 3 ngày làm việc | 3 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-7e5b-760d-9c8b-955bb35491f2
gop_von_the_chap,"Góp vốn, thế chấp",1.011443,"Xóa đăng ký biện pháp bảo đảm bằng quyền sử dụng đất, tài sản gắn liền với đất",Đăng ký biện pháp bảo đảm,xoa_bien_phap_bao_dam,xoa_dang_ky_bien_phap_bao_dam_bang_quyen_su_dung_dat_tai_san_gan_lien_voi_dat,Văn phòng Đăng ký đất đai,Trực tuyến | Trực tiếp | Dịch vụ bưu chính,3 ngày làm việc | 3 ngày làm việc | 3 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-7e53-77ba-aa3f-086a9b9717ba
gop_von_the_chap,"Góp vốn, thế chấp",1.011444,"Đăng ký thông báo xử lý tài sản bảo đảm, đăng ký thay đổi, xóa đăng ký thông báo xử lý tài sản bảo đảm là quyền sử dụng đất, tài sản gắn liền với đất",Đăng ký biện pháp bảo đảm,thay_doi_bien_phap_bao_dam,dang_ky_thong_bao_xu_ly_tai_san_bao_dam_dang_ky_thay_doi_xoa_dang_ky_thong_bao_xu_ly_tai_san_bao_dam_la_quyen_su_dung_dat_tai_san_gan_lien_voi_dat,Văn phòng Đăng ký đất đai,Trực tuyến | Trực tiếp | Dịch vụ bưu chính,3 ngày làm việc | 3 ngày làm việc | 3 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-7e59-756f-b4da-ad3f815615c3
