subdomain_key,subdomain_label,procedure_code,procedure_title,field,operation_group,operation_key,agency,submission_methods,processing_time_values,document_group_count,result_count,raw_data_available,source_url
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.001622,Hỗ trợ ăn trưa đối với trẻ em mẫu giáo,Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,tro_cap_hoc_tap,ho_tro_an_trua_doi_voi_tre_em_mau_giao,Cơ sở giáo dục,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,24 ngày làm việc | 24 ngày làm việc | 24 ngày làm việc,5,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-98e7-70fc-a7e2-3c4617d4c507
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.001714,"Cấp học bổng và hỗ trợ kinh phí mua phương tiện, đồ dùng học tập dùng riêng cho người khuyết tật học tại các cơ sở giáo dục",Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,hoc_bong,cap_hoc_bong_va_ho_tro_kinh_phi_mua_phuong_tien_do_dung_hoc_tap_dung_rieng_cho_nguoi_khuyet_tat_hoc_tai_cac_co_so_giao_duc,Cơ sở giáo dục,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,N/A | N/A | N/A,2,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-98e1-7328-a826-74115e520507
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.002982,Hỗ trợ học tập đối với học sinh trung học phổ thông các dân tộc thiểu số rất ít người,Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,chinh_sach_ho_tro_khac,ho_tro_hoc_tap_doi_voi_hoc_sinh_trung_hoc_pho_thong_cac_dan_toc_thieu_so_rat_it_nguoi,Cơ sở giáo dục,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-a0bb-75c1-9994-33530adf31a5
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.003702,"Hỗ trợ học tập đối với trẻ mẫu giáo, học sinh tiểu học, học sinh trung học cơ sở, sinh viên các dân tộc thiểu số rất ít người",Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,chinh_sach_ho_tro_khac,ho_tro_hoc_tap_doi_voi_tre_mau_giao_hoc_sinh_tieu_hoc_hoc_sinh_trung_hoc_co_so_sinh_vien_cac_dan_toc_thieu_so_rat_it_nguoi,Cơ sở giáo dục,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-a0b7-73bc-a140-d0bbe50f7991
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.008950,"Trợ cấp đối với trẻ em mầm non là con công nhân, người lao động làm việc tại khu công nghiệp",Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,tro_cap_hoc_tap,tro_cap_doi_voi_tre_em_mam_non_la_con_cong_nhan_nguoi_lao_dong_lam_viec_tai_khu_cong_nghiep,Cơ sở giáo dục,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,24 ngày làm việc | 24 ngày làm việc | 24 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-b0a4-756f-a185-c74fda62ef1c
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.009002,"Đăng ký hỗ trợ tiền đóng học phí và chi phí sinh hoạt đối với sinh viên học các ngành đào tạo giáo viên tại các đại học, học viện, trường đại học, trường cao đẳng được phép đào tạo giáo viên",Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,chinh_sach_ho_tro_khac,dang_ky_ho_tro_tien_dong_hoc_phi_va_chi_phi_sinh_hoat_doi_voi_sinh_vien_hoc_cac_nganh_dao_tao_giao_vien_tai_cac_dai_hoc_hoc_vien_truong_dai_hoc_truong_cao_dang_duoc_phep_dao_tao_giao_vien,Cơ sở giáo dục; Cơ sở giáo dục đại học,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,15 ngày | 15 ngày | 15 ngày,1,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-b0a5-7402-af80-1178fabc81d7
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.010497,"Đề nghị miễn giảm học phí, hỗ trợ chi phí học tập, hỗ trợ tiền đóng học phí đối với người học tại các cơ sở giáo dục mầm non, giáo dục phổ thông, giáo dục thường xuyên, giáo dục nghề nghiệp và giáo dục đại học",Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,mien_giam_hoc_phi,de_nghi_mien_giam_hoc_phi_ho_tro_chi_phi_hoc_tap_ho_tro_tien_dong_hoc_phi_doi_voi_nguoi_hoc_tai_cac_co_so_giao_duc_mam_non_giao_duc_pho_thong_giao_duc_thuong_xuyen_giao_duc_nghe_nghiep_va_giao_duc_dai_hoc,Sở Giáo dục và Đào tạo tỉnh Tuyên Quang; Cơ sở giáo dục,Trực tiếp | Trực tiếp,10 ngày làm việc | 5 ngày làm việc,2,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019dc562-901d-73ca-9cbf-76f252e06d59
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.014334,"Đề nghị hỗ trợ chi phí học tập trong trường trung học phổ thông tư thục, cơ sở giáo dục thường xuyên tư thục, trường trung học phổ thông trong các trường đại học, cao đẳng, viện nghiên cứu",Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,ho_tro_chi_phi_hoc_tap,de_nghi_ho_tro_chi_phi_hoc_tap_trong_truong_trung_hoc_pho_thong_tu_thuc_co_so_giao_duc_thuong_xuyen_tu_thuc_truong_trung_hoc_pho_thong_trong_cac_truong_dai_hoc_cao_dang_vien_nghien_cuu,Sở Giáo dục và Đào tạo Thành phố Hà Nội; Cơ sở giáo dục,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,10 ngày làm việc | 10 ngày làm việc | 10 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-c7e2-7668-a2a3-b7731373da8c
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.014335,"Đề nghị miễn, giảm học phí trong cơ sở giáo dục nghề nghiệp, cơ sở giáo dục đại học tư thục và cơ sở giáo dục nghề nghiệp, cơ sở giáo dục đại học thuộc tổ chức kinh tế, doanh nghiệp nhà nước",Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,mien_giam_hoc_phi,de_nghi_mien_giam_hoc_phi_trong_co_so_giao_duc_nghe_nghiep_co_so_giao_duc_dai_hoc_tu_thuc_va_co_so_giao_duc_nghe_nghiep_co_so_giao_duc_dai_hoc_thuoc_to_chuc_kinh_te_doanh_nghiep_nha_nuoc,Cơ sở giáo dục; Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,10 ngày làm việc | 10 ngày làm việc | 10 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-c7e3-746e-8437-305980ee5536
hoc_bong_va_ho_tro,Học bổng và chính sách hỗ trợ,1.014336,"Đề nghị hỗ trợ chi phí học tập trong cơ sở giáo dục mầm non công lập, cơ sở giáo dục phổ thông công lập, cơ sở giáo dục công lập thực hiện chương trình giáo dục phổ thông",Giáo dục và Đào tạo thuộc hệ thống giáo dục quốc dân,ho_tro_chi_phi_hoc_tap,de_nghi_ho_tro_chi_phi_hoc_tap_trong_co_so_giao_duc_mam_non_cong_lap_co_so_giao_duc_pho_thong_cong_lap_co_so_giao_duc_cong_lap_thuc_hien_chuong_trinh_giao_duc_pho_thong,Cơ sở giáo dục,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,10 ngày làm việc | 10 ngày làm việc | 10 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-c7e3-744b-8bd9-0747eeabb2db
