subdomain_key,subdomain_label,procedure_code,procedure_title,field,operation_group,operation_key,agency,submission_methods,processing_time_values,document_group_count,result_count,raw_data_available,source_url
tuyen_sinh,Tuyển sinh,1.001942,"Đăng ký xét tuyển trình độ đại học, trình độ cao đẳng ngành giáo dục mầm non","Thi, tuyển sinh",xet_tuyen,dang_ky_xet_tuyen_trinh_do_dai_hoc_trinh_do_cao_dang_nganh_giao_duc_mam_non,Bộ Giáo dục và Đào tạo; Sở Giáo dục đào tạo; Cơ sở giáo dục,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-990b-717b-a21e-ac4981b47c01
tuyen_sinh,Tuyển sinh,1.003734,Đăng ký dự thi cấp chứng chỉ ứng dụng công nghệ thông tin,"Thi, tuyển sinh",dang_ky_du_thi,dang_ky_du_thi_cap_chung_chi_ung_dung_cong_nghe_thong_tin,Trung tâm sát hạch,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-a0b9-717d-8148-5d3da9b6316b
tuyen_sinh,Tuyển sinh,1.005090,Xét tuyển sinh vào trường phổ thông dân tộc nội trú,"Thi, tuyển sinh",xet_tuyen,xet_tuyen_sinh_vao_truong_pho_thong_dan_toc_noi_tru,,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-a8e3-748e-a65e-e8722c0985e9
tuyen_sinh,Tuyển sinh,1.005095,Phúc khảo bài thi tốt nghiệp trung học phổ thông,"Thi, tuyển sinh",phuc_khao,phuc_khao_bai_thi_tot_nghiep_trung_hoc_pho_thong,Cơ sở giáo dục,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-a8db-7097-a720-aaf01ee9c954
tuyen_sinh,Tuyển sinh,1.005098,Xét đặc cách tốt nghiệp trung học phổ thông,"Thi, tuyển sinh",tot_nghiep,xet_dac_cach_tot_nghiep_trung_hoc_pho_thong,Cơ sở giáo dục,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-b069-774d-860a-85e4247efff5
tuyen_sinh,Tuyển sinh,1.005142,Đăng ký dự thi tốt nghiệp trung học phổ thông,"Thi, tuyển sinh",tot_nghiep,dang_ky_du_thi_tot_nghiep_trung_hoc_pho_thong,Cơ sở giáo dục,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-b068-763b-bee4-7ac0773cf0eb
tuyen_sinh,Tuyển sinh,1.009394,Đăng ký xét tuyển học theo chế độ cử tuyển,"Thi, tuyển sinh",xet_tuyen,dang_ky_xet_tuyen_hoc_theo_che_do_cu_tuyen,Sở Giáo dục đào tạo,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,35 ngày làm việc | 35 ngày làm việc | 35 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-b0a5-729e-97e3-26d9b2188633
tuyen_sinh,Tuyển sinh,1.010776,Tuyển sinh vào học dự bị đại học,"Thi, tuyển sinh",xet_tuyen,tuyen_sinh_vao_hoc_du_bi_dai_hoc,Trường Dự bị Đại học Dân tộc Trung ương - Bộ giáo dục đào tạo; Trường Dự bị Đại học Dân tộc Sầm Sơn - Bộ giáo dục đào tạo; Trường Dự bị Đại học Dân tộc Nha Trang - Bộ giáo dục đào tạo; Trường Dự bị Đại học thành phố Hồ Chí Minh - Bộ giáo dục đào tạo,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,30 ngày làm việc | 30 ngày làm việc | 30 ngày làm việc,2,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-b862-7711-a464-673430f0fd74
tuyen_sinh,Tuyển sinh,1.010779,"Xét chuyển học sinh hoàn thành dự bị đại học vào học trình độ đại học, trình độ cao đẳng ngành Giáo dục Mầm non","Thi, tuyển sinh",tuyen_sinh_khac,xet_chuyen_hoc_sinh_hoan_thanh_du_bi_dai_hoc_vao_hoc_trinh_do_dai_hoc_trinh_do_cao_dang_nganh_giao_duc_mam_non,Trường Dự bị Đại học Dân tộc Trung ương - Bộ giáo dục đào tạo; Trường Dự bị Đại học Dân tộc Sầm Sơn - Bộ giáo dục đào tạo; Trường Dự bị Đại học Dân tộc Nha Trang - Bộ giáo dục đào tạo; Trường Dự bị Đại học thành phố Hồ Chí Minh - Bộ giáo dục đào tạo,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,1 ngày | 1 ngày | 1 ngày,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-b84e-779e-beb6-8cfda1a5edcd
tuyen_sinh,Tuyển sinh,1.013338,Xét công nhận tốt nghiệp trung học phổ thông,"Thi, tuyển sinh",tot_nghiep,xet_cong_nhan_tot_nghiep_trung_hoc_pho_thong,Sở Giáo dục và Đào tạo Thành phố Hà Nội,Trực tuyến | Trực tiếp,7 ngày | 7 ngày,0,3,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-c06b-773e-be34-f8c46eec95f2
