subdomain_key,subdomain_label,procedure_code,procedure_title,field,operation_group,operation_key,agency,submission_methods,processing_time_values,document_group_count,result_count,raw_data_available,source_url
ket_hon,Kết hôn,1.000094,Thủ tục đăng ký kết hôn có yếu tố nước ngoài tại khu vực biên giới,Hộ tịch,ket_hon_bien_gioi,thu_tuc_dang_ky_ket_hon_co_yeu_to_nuoc_ngoai_tai_khu_vuc_bien_gioi,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,3 ngày | 3 ngày | 3 ngày,4,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-3801-752b-a01a-93596242f811
ket_hon,Kết hôn,1.000593,Thủ tục đăng ký kết hôn lưu động,Hộ tịch,dang_ky_ket_hon_luu_dong,thu_tuc_dang_ky_ket_hon_luu_dong,,Trực tiếp,5 ngày làm việc,2,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-382c-774c-bca0-e30c261d7be4
ket_hon,Kết hôn,1.000736,Thủ tục ghi vào sổ hộ tịch việc kết hôn của công dân Việt Nam đã được giải quyết tại cơ quan có thẩm quyền của nước ngoài,Hộ tịch,ghi_chu_ket_hon,thu_tuc_ghi_vao_so_ho_tich_viec_ket_hon_cua_cong_dan_viet_nam_da_duoc_giai_quyet_tai_co_quan_co_tham_quyen_cua_nuoc_ngoai,,Trực tiếp,5 ngày làm việc,2,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-e9cb-74a6-92b0-91e4bd5a1698
ket_hon,Kết hôn,1.000894,Thủ tục đăng ký kết hôn,Hộ tịch,dang_ky_ket_hon,thu_tuc_dang_ky_ket_hon,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,1 ngày | 1 ngày | 1 ngày,3,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-3fac-7489-b53b-a15eb239a6fe
ket_hon,Kết hôn,1.004746,Thủ tục đăng ký lại kết hôn,Hộ tịch,dang_ky_lai_ket_hon,thu_tuc_dang_ky_lai_ket_hon,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,5 ngày | 5 ngày | 5 ngày,3,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-6711-733d-b674-f82cb6606242
ket_hon,Kết hôn,2.000507,Thủ tục đăng ký lại kết hôn,Hộ tịch,dang_ky_lai_ket_hon,thu_tuc_dang_ky_lai_ket_hon,,Trực tiếp,5 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-f1cd-729d-9049-70d37b1dd758
ket_hon,Kết hôn,2.000513,Thủ tục đăng ký lại kết hôn có yếu tố nước ngoài,Hộ tịch,dang_ky_lai_ket_hon,thu_tuc_dang_ky_lai_ket_hon_co_yeu_to_nuoc_ngoai,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,5 ngày | 5 ngày | 5 ngày,3,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-866c-706d-945a-a09ce8c74047
ket_hon,Kết hôn,2.000554,"Thủ tục ghi vào Sổ hộ tịch việc ly hôn, hủy việc kết hôn của công dân Việt Nam đã được giải quyết tại cơ quan có thẩm quyền của nước ngoài",Hộ tịch,ghi_chu_ly_hon,thu_tuc_ghi_vao_so_ho_tich_viec_ly_hon_huy_viec_ket_hon_cua_cong_dan_viet_nam_da_duoc_giai_quyet_tai_co_quan_co_tham_quyen_cua_nuoc_ngoai,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,5 ngày | 5 ngày | 5 ngày,4,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-867a-70eb-bc54-e836b23a4649
ket_hon,Kết hôn,2.000698,"Thủ tục ghi vào sổ hộ tịch việc ly hôn, huỷ việc kết hôn của công dân Việt Nam đã được giải quyết tại cơ quan có thẩm quyền của nước ngoài",Hộ tịch,ghi_chu_ly_hon,thu_tuc_ghi_vao_so_ho_tich_viec_ly_hon_huy_viec_ket_hon_cua_cong_dan_viet_nam_da_duoc_giai_quyet_tai_co_quan_co_tham_quyen_cua_nuoc_ngoai,,Trực tiếp,5 ngày làm việc,2,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-f1d9-755b-bbad-70caa46ad67c
ket_hon,Kết hôn,2.000806,Thủ tục đăng ký kết hôn có yếu tố nước ngoài,Hộ tịch,ket_hon_co_yeu_to_nuoc_ngoai,thu_tuc_dang_ky_ket_hon_co_yeu_to_nuoc_ngoai,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,5 ngày | 5 ngày | 5 ngày,4,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-8e13-728a-a0cd-635811d8432e
ket_hon,Kết hôn,2.002189,Thủ tục ghi vào Sổ hộ tịch việc kết hôn của công dân Việt Nam đã được giải quyết tại cơ quan có thẩm quyền của nước ngoài,Hộ tịch,ghi_chu_ket_hon,thu_tuc_ghi_vao_so_ho_tich_viec_ket_hon_cua_cong_dan_viet_nam_da_duoc_giai_quyet_tai_co_quan_co_tham_quyen_cua_nuoc_ngoai,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,5 ngày | 5 ngày | 5 ngày,4,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-9dec-73f6-b213-be4bfb4f911b
