subdomain_key,subdomain_label,procedure_code,procedure_title,field,operation_group,operation_key,agency,submission_methods,processing_time_values,document_group_count,result_count,raw_data_available,source_url
nhan_con_nuoi,Nhận con nuôi,1.003005,Giải quyết việc người nước ngoài cư trú ở khu vực biên giới nước láng giềng nhận trẻ em Việt Nam làm con nuôi,Nuôi con nuôi,nuoi_con_nuoi_co_yeu_to_nuoc_ngoai,giai_quyet_viec_nguoi_nuoc_ngoai_cu_tru_o_khu_vuc_bien_gioi_nuoc_lang_gieng_nhan_tre_em_viet_nam_lam_con_nuoi,,Trực tiếp,45 ngày làm việc,3,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-5f22-73cf-b95d-b024eb53f12b
nhan_con_nuoi,Nhận con nuôi,1.003160,Giải quyết việc người nước ngoài thường trú ở Việt Nam nhận trẻ em Việt Nam làm con nuôi,Nuôi con nuôi,nuoi_con_nuoi_co_yeu_to_nuoc_ngoai,giai_quyet_viec_nguoi_nuoc_ngoai_thuong_tru_o_viet_nam_nhan_tre_em_viet_nam_lam_con_nuoi,,Trực tiếp,N/A,3,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-5f2c-739b-82b5-9fcf4fd97835
nhan_con_nuoi,Nhận con nuôi,1.003179,Đăng ký lại việc nuôi con nuôi có yếu tố nước ngoài,Nuôi con nuôi,dang_ky_lai_nuoi_con_nuoi,dang_ky_lai_viec_nuoi_con_nuoi_co_yeu_to_nuoc_ngoai,,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-5f39-7665-900e-2fc88fa8d117
nhan_con_nuoi,Nhận con nuôi,1.003198,Cấp giấy xác nhận công dân Việt Nam ở trong nước đủ điều kiện nhận trẻ em nước ngoài làm con nuôi,Nuôi con nuôi,nuoi_con_nuoi_co_yeu_to_nuoc_ngoai,cap_giay_xac_nhan_cong_dan_viet_nam_o_trong_nuoc_du_dieu_kien_nhan_tre_em_nuoc_ngoai_lam_con_nuoi,Ủy ban nhân dân cấp tỉnh,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-66d1-7420-8968-273257ca6fe5
nhan_con_nuoi,Nhận con nuôi,1.003213,Thủ tục Đăng ký việc nuôi con nuôi tại Cơ quan đại diện Việt Nam ở nước ngoài,Nuôi con nuôi,nuoi_con_nuoi_tai_co_quan_dai_dien,thu_tuc_dang_ky_viec_nuoi_con_nuoi_tai_co_quan_dai_dien_viet_nam_o_nuoc_ngoai,Cơ quan đại diện Việt Nam ở nước ngoài; Cơ quan đại diện Việt Nam ở nước ngoài,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-66d3-77fe-91b6-9ab2a8f1ca16
nhan_con_nuoi,Nhận con nuôi,1.003976,Giải quyết việc nuôi con nuôi có yếu tố nước ngoài đối với trẻ em sống ở cơ sở nuôi dưỡng,Nuôi con nuôi,nuoi_con_nuoi_co_yeu_to_nuoc_ngoai,giai_quyet_viec_nuoi_con_nuoi_co_yeu_to_nuoc_ngoai_doi_voi_tre_em_song_o_co_so_nuoi_duong,Bộ Tư pháp; Ủy ban nhân dân cấp tỉnh,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d9a67-51ff-7467-9df9-aca0e621efed
nhan_con_nuoi,Nhận con nuôi,1.004878,"Giải quyết việc nuôi con nuôi có yếu tố nước ngoài đối với trường hợp cha dượng, mẹ kế nhận con riêng của vợ hoặc chồng; cô, cậu, dì, chú, bác ruột nhận cháu làm con nuôi",Nuôi con nuôi,nuoi_con_nuoi_co_yeu_to_nuoc_ngoai,giai_quyet_viec_nuoi_con_nuoi_co_yeu_to_nuoc_ngoai_doi_voi_truong_hop_cha_duong_me_ke_nhan_con_rieng_cua_vo_hoac_chong_co_cau_di_chu_bac_ruot_nhan_chau_lam_con_nuoi,Cục Hành chính tư pháp,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-6ead-70b8-a046-0ac594e78f99
nhan_con_nuoi,Nhận con nuôi,2.000540,"Thủ tục đăng ký lại việc nuôi con nuôi cho công dân Việt Nam cư trú ở nước ngoài, mà việc hộ tịch đó trước đây đã được đăng ký tại CQĐD Việt Nam ở nước ngoài",Hộ tịch,dang_ky_lai_nuoi_con_nuoi,thu_tuc_dang_ky_lai_viec_nuoi_con_nuoi_cho_cong_dan_viet_nam_cu_tru_o_nuoc_ngoai_ma_viec_ho_tich_do_truoc_day_da_duoc_dang_ky_tai_cqdd_viet_nam_o_nuoc_ngoai,Cơ quan đại diện Việt Nam ở nước ngoài,Trực tiếp,5 ngày,2,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-f1cc-772f-9f52-96dc0f4d212c
nhan_con_nuoi,Nhận con nuôi,2.001255,Đăng ký lại việc nuôi con nuôi trong nước,Nuôi con nuôi,dang_ky_lai_nuoi_con_nuoi,dang_ky_lai_viec_nuoi_con_nuoi_trong_nuoc,,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-9614-7528-9c06-e53f6dee7a58
nhan_con_nuoi,Nhận con nuôi,2.001263,Đăng ký việc nuôi con nuôi trong nước,Nuôi con nuôi,nuoi_con_nuoi_trong_nuoc,dang_ky_viec_nuoi_con_nuoi_trong_nuoc,,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-9dae-705f-a893-0c4e1f0c32a7
