subdomain_key,subdomain_label,procedure_code,procedure_title,field,operation_group,operation_key,agency,submission_methods,processing_time_values,document_group_count,result_count,raw_data_available,source_url
cai_chinh_trich_luc_ho_tich,"Cải chính, trích lục hộ tịch",1.004859,"Thủ tục thay đổi, cải chính, bổ sung thông tin hộ tịch, xác định lại dân tộc",Hộ tịch,cai_chinh_bo_sung_ho_tich,thu_tuc_thay_doi_cai_chinh_bo_sung_thong_tin_ho_tich_xac_dinh_lai_dan_toc,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,1 ngày | 1 ngày | 1 ngày,4,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-671e-714b-8fd6-8230c82f7867
cai_chinh_trich_luc_ho_tich,"Cải chính, trích lục hộ tịch",2.000547,"Thủ tục ghi vào Sổ hộ tịch việc hộ tịch khác của công dân Việt Nam đã được giải quyết tại cơ quan có thẩm quyền của nước ngoài (khai sinh; giám hộ; nhận cha, mẹ, con; xác định cha, mẹ, con; nuôi con nuôi; khai tử; thay đổi hộ tịch)",Hộ tịch,ghi_chu_ho_tich_khac,thu_tuc_ghi_vao_so_ho_tich_viec_ho_tich_khac_cua_cong_dan_viet_nam_da_duoc_giai_quyet_tai_co_quan_co_tham_quyen_cua_nuoc_ngoai_khai_sinh_giam_ho_nhan_cha_me_con_xac_dinh_cha_me_con_nuoi_con_nuoi_khai_tu_thay_doi_ho_tich,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,1 ngày | 1 ngày | 1 ngày,4,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-8661-77ca-9811-6106ea8c43db
cai_chinh_trich_luc_ho_tich,"Cải chính, trích lục hộ tịch",2.000702,"Thủ tục ghi vào sổ hộ tịch các việc hộ tịch đã đăng ký tại cơ quan có thẩm quyền của nước ngoài (giám hộ; nhận cha, mẹ, con; xác định cha, mẹ con; nuôi con nuôi; khai tử; và những thay đổi khác)",Hộ tịch,ghi_chu_ho_tich_khac,thu_tuc_ghi_vao_so_ho_tich_cac_viec_ho_tich_da_dang_ky_tai_co_quan_co_tham_quyen_cua_nuoc_ngoai_giam_ho_nhan_cha_me_con_xac_dinh_cha_me_con_nuoi_con_nuoi_khai_tu_va_nhung_thay_doi_khac,,Trực tiếp,15 ngày,2,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-f1d9-73d4-986d-3a9449601fca
cai_chinh_trich_luc_ho_tich,"Cải chính, trích lục hộ tịch",2.000748,"Thủ tục thay đổi, cải chính, bổ sung thông tin hộ tịch, xác định lại dân tộc có yếu tố nước ngoài",Hộ tịch,cai_chinh_ho_tich_co_yeu_to_nuoc_ngoai,thu_tuc_thay_doi_cai_chinh_bo_sung_thong_tin_ho_tich_xac_dinh_lai_dan_toc_co_yeu_to_nuoc_ngoai,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,1 ngày | 1 ngày | 1 ngày,4,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-8e02-7590-b74b-fb572a57eda2
giam_ho,Giám hộ,1.001669,Thủ tục đăng ký giám hộ có yếu tố nước ngoài,Hộ tịch,giam_ho_co_yeu_to_nuoc_ngoai,thu_tuc_dang_ky_giam_ho_co_yeu_to_nuoc_ngoai,Phòng Tư Pháp,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,5 ngày | 5 ngày | 5 ngày,4,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-47a7-74cf-a1de-4c9e077743e9
giam_ho,Giám hộ,1.004837,Thủ tục đăng ký giám hộ,Hộ tịch,dang_ky_giam_ho,thu_tuc_dang_ky_giam_ho,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,3 ngày làm việc | 3 ngày làm việc | 3 ngày làm việc,4,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-671b-75fa-82fb-8ad05a37f638
giam_ho,Giám hộ,1.004845,Thủ tục đăng ký chấm dứt giám hộ,Hộ tịch,cham_dut_hoac_thay_doi_giam_ho,thu_tuc_dang_ky_cham_dut_giam_ho,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,2 ngày làm việc | 2 ngày làm việc | 2 ngày làm việc,4,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-6724-715f-822c-28e986912730
giam_ho,Giám hộ,2.000560,Thủ tục đăng ký việc giám hộ giữa công dân Việt Nam cư trú ở nước ngoài với nhau,Hộ tịch,giam_ho_giua_cong_dan_vn_o_nuoc_ngoai,thu_tuc_dang_ky_viec_giam_ho_giua_cong_dan_viet_nam_cu_tru_o_nuoc_ngoai_voi_nhau,,Trực tiếp,3 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-f1ca-7470-b62b-111daf5c5d11
giam_ho,Giám hộ,2.000584,"Thủ tục đăng ký chấm dứt, thay đổi việc giám hộ giữa công dân Việt Nam cư trú ở nước ngoài với nhau",Hộ tịch,cham_dut_hoac_thay_doi_giam_ho,thu_tuc_dang_ky_cham_dut_thay_doi_viec_giam_ho_giua_cong_dan_viet_nam_cu_tru_o_nuoc_ngoai_voi_nhau,,Trực tiếp,2 ngày làm việc,2,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-f1d0-717a-a651-7ac1f7473f62
giam_ho,Giám hộ,2.000756,Thủ tục đăng ký chấm dứt giám hộ có yếu tố nước ngoài,Hộ tịch,cham_dut_hoac_thay_doi_giam_ho,thu_tuc_dang_ky_cham_dut_giam_ho_co_yeu_to_nuoc_ngoai,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,2 ngày làm việc | 2 ngày làm việc | 2 ngày làm việc,4,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-8e04-756b-bf4f-2a70964e4c40
