subdomain_key,subdomain_label,procedure_code,procedure_title,field,operation_group,operation_key,agency,submission_methods,processing_time_values,document_group_count,result_count,raw_data_available,source_url
che_do_tu_tuat_mai_tang_phi,"Chế độ tử tuất, mai táng phí",1.001731,Hỗ trợ chi phí mai táng cho đối tượng bảo trợ xã hội,Bảo trợ xã hội,ho_tro_mai_tang_bao_tro_xa_hoi,ho_tro_chi_phi_mai_tang_cho_doi_tuong_bao_tro_xa_hoi,Ủy ban nhân dân cấp xã,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-b7dd-7239-b166-b6cd79d326b8
che_do_tu_tuat_mai_tang_phi,"Chế độ tử tuất, mai táng phí",1.010456,"Giải quyết chế độ mai táng phí đối với dân công hỏa tuyến tham gia kháng chiến chống Pháp, chống Mỹ, chiến tranh bảo vệ Tổ quốc và làm nhiệm vụ quốc tế hưởng trợ cấp theo Quyết định số 49/2015/QĐ-TTg của Thủ tướng Chính phủ",Người có công,mai_tang_phi_dan_cong_hoa_tuyen,giai_quyet_che_do_mai_tang_phi_doi_voi_dan_cong_hoa_tuyen_tham_gia_khang_chien_chong_phap_chong_my_chien_tranh_bao_ve_to_quoc_va_lam_nhiem_vu_quoc_te_huong_tro_cap_theo_quyet_dinh_so_49_2015_qd_ttg_cua_thu_tuong_chinh_phu,Ủy ban nhân dân cấp xã,Trực tiếp | Trực tuyến | Dịch vụ bưu chính,10 ngày làm việc | 10 ngày làm việc | 10 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019dbe41-6991-743a-819d-5be7935767c7
che_do_tu_tuat_mai_tang_phi,"Chế độ tử tuất, mai táng phí",1.014028,Hỗ trợ chi phí mai táng đối với đối tượng hưởng trợ cấp hưu trí xã hội,Bảo trợ xã hội,ho_tro_mai_tang_bao_tro_xa_hoi,ho_tro_chi_phi_mai_tang_doi_voi_doi_tuong_huong_tro_cap_huu_tri_xa_hoi,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,3 ngày làm việc | 3 ngày làm việc | 3 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bff-3508-7268-b54b-6ce79a8cbf0e
che_do_tu_tuat_mai_tang_phi,"Chế độ tử tuất, mai táng phí",1.014177,HƯỞNG TRỢ CẤP MAI TÁNG,Bảo hiểm xã hội,tro_cap_mai_tang_bhxh,huong_tro_cap_mai_tang,Bảo hiểm xã hội tỉnh,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,10 ngày làm việc | 10 ngày làm việc | 10 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfb-236e-71b0-8d75-1d77a69b881f
che_do_tu_tuat_mai_tang_phi,"Chế độ tử tuất, mai táng phí",1.014359,"Giải quyết chế độ mai táng phí đối với dân công hỏa tuyến tham gia kháng chiến chống Pháp, chống Mỹ, chiến tranh bảo vệ Tổ quốc và làm nhiệm vụ quốc tế",Người có công,mai_tang_phi_dan_cong_hoa_tuyen,giai_quyet_che_do_mai_tang_phi_doi_voi_dan_cong_hoa_tuyen_tham_gia_khang_chien_chong_phap_chong_my_chien_tranh_bao_ve_to_quoc_va_lam_nhiem_vu_quoc_te,Ủy ban nhân dân cấp xã; Sở Nội Vụ,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,12 ngày làm việc | 12 ngày làm việc | 12 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfb-2b25-777d-a825-2823012ce7ec
che_do_tu_tuat_mai_tang_phi,"Chế độ tử tuất, mai táng phí",2.000821,Giải quyết hưởng chế độ tử tuất,Thực hiện chính sách BHXH,che_do_tu_tuat,giai_quyet_huong_che_do_tu_tuat,,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfc-d9c7-75c6-bfa0-631818e8ba0c
che_do_tu_tuat_mai_tang_phi,"Chế độ tử tuất, mai táng phí",2.002307,Giải quyết chế độ mai táng phí đối với cựu chiến binh,Người có công,mai_tang_phi_cuu_chien_binh,giai_quyet_che_do_mai_tang_phi_doi_voi_cuu_chien_binh,Sở Nội Vụ,Dịch vụ bưu chính | Trực tiếp,25 ngày | 25 ngày,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfb-4a4e-7368-a306-f665291850ca
che_do_tu_tuat_mai_tang_phi,"Chế độ tử tuất, mai táng phí",2.002308,Giải quyết chế độ mai táng phí đối với thanh niên xung phong thời kỳ chống Pháp,Người có công,mai_tang_phi_thanh_nien_xung_phong,giai_quyet_che_do_mai_tang_phi_doi_voi_thanh_nien_xung_phong_thoi_ky_chong_phap,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,N/A | N/A | N/A,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfb-4a52-722d-90e3-4cafef5d497c
che_do_tu_tuat_mai_tang_phi,"Chế độ tử tuất, mai táng phí",2.002862,Hỗ trợ chi phí mai táng đối với người dân tộc thiểu số trên địa bàn tỉnh Lai Châu giai đoạn 2025-2030,Người có công,ho_tro_mai_tang_dia_phuong,ho_tro_chi_phi_mai_tang_doi_voi_nguoi_dan_toc_thieu_so_tren_dia_ban_tinh_lai_chau_giai_doan_2025_2030,Ủy ban nhân dân cấp xã,Trực tiếp | Trực tuyến | Dịch vụ bưu chính,7 ngày làm việc | 7 ngày làm việc | 7 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d9016-e181-753d-880e-69a6d964af86
khai_tu,Khai tử,1.000419,Thủ tục đăng ký khai tử lưu động,Hộ tịch,khai_tu_luu_dong,thu_tuc_dang_ky_khai_tu_luu_dong,,Trực tiếp,5 ngày làm việc,2,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-380b-73c4-9566-9e8b26bbfec6
khai_tu,Khai tử,1.000656,Thủ tục đăng ký khai tử,Hộ tịch,dang_ky_khai_tu,thu_tuc_dang_ky_khai_tu,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,1 ngày | 1 ngày | 1 ngày,4,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-3fac-7489-b53b-9c6c958f2da4
khai_tu,Khai tử,1.001766,Thủ tục đăng ký khai tử có yếu tố nước ngoài,Hộ tịch,khai_tu_co_yeu_to_nuoc_ngoai,thu_tuc_dang_ky_khai_tu_co_yeu_to_nuoc_ngoai,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,1 ngày | 1 ngày | 1 ngày,4,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-47da-7259-b8fe-0d5327727234
khai_tu,Khai tử,1.004827,Thủ tục đăng ký khai tử có yếu tố nước ngoài tại khu vực biên giới,Hộ tịch,khai_tu_bien_gioi,thu_tuc_dang_ky_khai_tu_co_yeu_to_nuoc_ngoai_tai_khu_vuc_bien_gioi,Ủy ban nhân dân cấp xã,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,1 ngày | 1 ngày | 1 ngày,4,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-670b-779a-a843-4c518c4ec075
khai_tu,Khai tử,1.005461,Đăng ký lại khai tử,Hộ tịch,dang_ky_lai_khai_tu,dang_ky_lai_khai_tu,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,5 ngày | 5 ngày | 5 ngày,3,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-6ebc-709e-8678-a9f8b66738f2
