subdomain_key,subdomain_label,procedure_code,procedure_title,operation_group,operation_key,agency,submission_methods,processing_time_values,document_group_count,result_count,raw_data_available,source_url,raw_data_file
dang_ky_phuong_tien,Đăng ký phương tiện,1.012575,"Đăng ký xe lần đầu trực tuyến toàn trình đối với xe sản xuất lắp ráp trong nước thực hiện tại cấp tỉnh, cấp xã",dang_ky_lan_dau,dang_ky_xe_lan_dau_truc_tuyen_toan_trinh_doi_voi_xe_san_xuat_lap_rap_trong_nuoc_thuc_hien_tai_cap_tinh_cap_xa,Công an cấp Xã,Trực tuyến,2 ngày,0,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-8ec4-71e9-98c9-719f7565b157,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_012575\1_012575_procedure_detail.md
dang_ky_phuong_tien,Đăng ký phương tiện,1.013065,"Thu hồi chứng nhận đăng ký xe, biển số xe thực hiện bằng dịch vụ công toàn trình",thu_hoi_dang_ky_xe,thu_hoi_chung_nhan_dang_ky_xe_bien_so_xe_thuc_hien_bang_dich_vu_cong_toan_trinh,Công an cấp Xã,Trực tuyến,8 ngày,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-8ecd-75f0-808d-63f5146ec72c,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_013065\1_013065_procedure_detail.md
dang_ky_phuong_tien,Đăng ký phương tiện,1.013066,"Đăng ký xe lần đầu trực tuyến toàn trình đối với xe nhập khẩu thực hiện tại cấp tỉnh, cấp xã",dang_ky_lan_dau,dang_ky_xe_lan_dau_truc_tuyen_toan_trinh_doi_voi_xe_nhap_khau_thuc_hien_tai_cap_tinh_cap_xa,Công an cấp Xã,Trực tuyến | Trực tuyến,7 ngày làm việc | 2 ngày làm việc,0,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-8edd-763c-9b6c-c896b0afab8e,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_013066\1_013066_procedure_detail.md
dang_ky_phuong_tien,Đăng ký phương tiện,1.013067,"Đăng ký, cấp biển số xe lần đầu thực hiện bằng dịch vụ công một phần hoặc trực tiếp thực hiện tại cấp trung ương, cấp tỉnh, cấp xã",dang_ky_khac,dang_ky_cap_bien_so_xe_lan_dau_thuc_hien_bang_dich_vu_cong_mot_phan_hoac_truc_tiep_thuc_hien_tai_cap_trung_uong_cap_tinh_cap_xa,Công an cấp Xã,Trực tiếp | Trực tiếp | Trực tiếp,7 ngày làm việc | 1 ngày | 2 ngày làm việc,0,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-8ebf-754a-8107-e996c9e1c18a,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_013067\1_013067_procedure_detail.md
dang_ky_phuong_tien,Đăng ký phương tiện,1.013076,"Cấp chứng nhận đăng ký xe, biển số xe trong trường hợp thay đổi chủ xe (đăng ký sang tên xe) bằng dịch vụ công trực tuyến một phần hoặc trực tiếp thực hiện tại cấp trung ương, cấp tỉnh, cấp xã",sang_ten_xe,cap_chung_nhan_dang_ky_xe_bien_so_xe_trong_truong_hop_thay_doi_chu_xe_dang_ky_sang_ten_xe_bang_dich_vu_cong_truc_tuyen_mot_phan_hoac_truc_tiep_thuc_hien_tai_cap_trung_uong_cap_tinh_cap_xa,Công an cấp Xã,Trực tuyến | Trực tiếp | Trực tiếp | Trực tiếp | Trực tuyến | Trực tuyến,2 ngày làm việc | 2 ngày làm việc | 7 ngày làm việc | 1 ngày | 7 ngày làm việc | 1 ngày,2,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-963f-702b-a0a4-aa582fbc3473,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_013076\1_013076_procedure_detail.md
dang_ky_phuong_tien,Đăng ký phương tiện,1.013079,"Đổi chứng nhận đăng ký xe, biển số xe bằng dịch vụ công trực tuyến một phần hoặc trực tiếp thực hiện tại cấp trung ương, cấp tỉnh, cấp xã",doi_dang_ky_xe,doi_chung_nhan_dang_ky_xe_bien_so_xe_bang_dich_vu_cong_truc_tuyen_mot_phan_hoac_truc_tiep_thuc_hien_tai_cap_trung_uong_cap_tinh_cap_xa,Công an cấp Xã,Trực tuyến | Trực tiếp | Trực tiếp | Trực tuyến,7 ngày làm việc | 7 ngày làm việc | 2 ngày làm việc | 2 ngày làm việc,0,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-963b-73f7-a52b-d50180c06bb5,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_013079\1_013079_procedure_detail.md
dang_ky_phuong_tien,Đăng ký phương tiện,1.013080,"Cấp lại chứng nhận đăng ký xe, biển số xe thực hiện bằng dịch vụ công trực tuyến toàn trình",cap_lai_dang_ky_xe,cap_lai_chung_nhan_dang_ky_xe_bien_so_xe_thuc_hien_bang_dich_vu_cong_truc_tuyen_toan_trinh,Công an cấp Xã,Trực tuyến,2 ngày làm việc,0,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-9639-77ee-9eeb-986f541471c4,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_013080\1_013080_procedure_detail.md
dang_ky_phuong_tien,Đăng ký phương tiện,1.013082,"Cấp lại chứng nhận đăng ký xe, biển số xe thực hiện bằng dịch vụ công trực tuyến một phần hoặc trực tiếp thực hiện tại cấp trung ương, cấp tỉnh, cấp xã",cap_lai_dang_ky_xe,cap_lai_chung_nhan_dang_ky_xe_bien_so_xe_thuc_hien_bang_dich_vu_cong_truc_tuyen_mot_phan_hoac_truc_tiep_thuc_hien_tai_cap_trung_uong_cap_tinh_cap_xa,Công an cấp Xã,Trực tuyến | Trực tiếp | Trực tuyến | Trực tiếp,2 ngày làm việc | 2 ngày làm việc | 7 ngày làm việc | 7 ngày làm việc,0,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-9642-75f8-abd2-facca0a4f6c0,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_013082\1_013082_procedure_detail.md
dang_ky_phuong_tien,Đăng ký phương tiện,1.013083,Đăng ký xe tạm thời thực hiện bằng dịch vụ công trực tuyến toàn trình,dang_ky_tam_thoi,dang_ky_xe_tam_thoi_thuc_hien_bang_dich_vu_cong_truc_tuyen_toan_trinh,Công an cấp Xã,Trực tuyến,8 ngày,0,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-963b-73f7-a52b-d2dc1409f36a,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_013083\1_013083_procedure_detail.md
dang_ky_phuong_tien,Đăng ký phương tiện,1.013086,"Đăng ký xe tạm thời thực hiện bằng dịch vụ công trực tuyến một phần hoặc trực tiếp thực hiện tại cấp trung ương, cấp tỉnh, cấp xã",dang_ky_tam_thoi,dang_ky_xe_tam_thoi_thuc_hien_bang_dich_vu_cong_truc_tuyen_mot_phan_hoac_truc_tiep_thuc_hien_tai_cap_trung_uong_cap_tinh_cap_xa,Công an cấp Xã,Trực tuyến | Trực tiếp,1 ngày làm việc | 1 ngày làm việc,0,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-9642-716f-9a83-842d15addcb8,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_013086\1_013086_procedure_detail.md
dang_ky_phuong_tien,Đăng ký phương tiện,1.013123,"Thu hồi giấy chứng nhận đăng ký, biển số xe thực hiện bằng dịch vụ công trực tuyến một phần hoặc trực tiếp thực hiện tại cấp trung ương, cấp tỉnh, cấp xã",thu_hoi_dang_ky_xe,thu_hoi_giay_chung_nhan_dang_ky_bien_so_xe_thuc_hien_bang_dich_vu_cong_truc_tuyen_mot_phan_hoac_truc_tiep_thuc_hien_tai_cap_trung_uong_cap_tinh_cap_xa,Công an cấp Xã,Trực tuyến | Trực tiếp,2 ngày làm việc | 2 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-963c-758d-a83d-8a710bdb175d,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_013123\1_013123_procedure_detail.md
dang_ky_phuong_tien,Đăng ký phương tiện,3.000381,Thu hồi Giấy phép hoạt động đối với phương tiện giao thông thông minh tại Cục cảnh sát giao thông,phuong_tien_thong_minh,thu_hoi_giay_phep_hoat_dong_doi_voi_phuong_tien_giao_thong_thong_minh_tai_cuc_canh_sat_giao_thong,,Trực tiếp,1 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-c571-77eb-aedb-22b4e41920e8,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\3_000381\3_000381_procedure_detail.md
dang_ky_phuong_tien,Đăng ký phương tiện,3.000382,Cấp lại Giấy phép hoạt động đối với phương tiện giao thông thông minh tại Cục Cảnh sát giao thông,phuong_tien_thong_minh,cap_lai_giay_phep_hoat_dong_doi_voi_phuong_tien_giao_thong_thong_minh_tai_cuc_canh_sat_giao_thong,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,2 ngày làm việc | 2 ngày làm việc | 2 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-c574-725f-9bab-f556df83548d,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\3_000382\3_000382_procedure_detail.md
dang_ky_phuong_tien,Đăng ký phương tiện,3.000383,Cấp phép hoạt động đối với phương tiện giao thông thông minh tại Cục Cảnh sát giao thông,phuong_tien_thong_minh,cap_phep_hoat_dong_doi_voi_phuong_tien_giao_thong_thong_minh_tai_cuc_canh_sat_giao_thong,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,7 ngày làm việc | 7 ngày làm việc | 7 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-c55c-75df-856a-e215e76cdf65,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\3_000383\3_000383_procedure_detail.md
