subdomain_key,subdomain_label,procedure_code,procedure_title,field,operation_group,operation_key,agency,submission_methods,processing_time_values,document_group_count,result_count,raw_data_available,source_url
bao_hiem_xa_hoi_that_nghiep_tro_cap,"Bảo hiểm xã hội, thất nghiệp, trợ cấp",1.001601,"Ủy quyền lĩnh thay các chế độ bảo hiểm xã hội, trợ cấp thất nghiệp",Chi trả các chế độ BHXH,uy_quyen_nhan_che_do,uy_quyen_linh_thay_cac_che_do_bao_hiem_xa_hoi_tro_cap_that_nghiep,Công đoàn cơ quan BHXH Việt Nam,Dịch vụ bưu chính | Trực tiếp,1 ngày làm việc | 1 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfb-d765-716d-93f2-6b2193edaeaa
bao_hiem_xa_hoi_that_nghiep_tro_cap,"Bảo hiểm xã hội, thất nghiệp, trợ cấp",1.014745,Tham gia bảo hiểm thất nghiệp (Cấp tỉnh),Việc làm,tham_gia_bao_hiem_that_nghiep,tham_gia_bao_hiem_that_nghiep_cap_tinh,Bảo hiểm xã hội Việt Nam,Trực tuyến | Trực tiếp,1 ngày | 1 ngày,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfb-2b1d-7649-8f76-f193272c7e50
bao_hiem_xa_hoi_that_nghiep_tro_cap,"Bảo hiểm xã hội, thất nghiệp, trợ cấp",1.014748,Hưởng trợ cấp thất nghiệp (Cấp tỉnh),Việc làm,huong_tro_cap_that_nghiep,huong_tro_cap_that_nghiep_cap_tinh,Ủy ban nhân dân tỉnh và thành phố trực thuộc Trung ương; Sở Nội Vụ,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,15 ngày làm việc | 15 ngày làm việc | 15 ngày làm việc,0,3,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfb-2b1d-7649-8f76-f5315475eb46
bao_hiem_xa_hoi_that_nghiep_tro_cap,"Bảo hiểm xã hội, thất nghiệp, trợ cấp",1.014749,Thông báo hằng tháng về việc tìm kiếm việc làm (Cấp tỉnh),Việc làm,thong_bao_tim_kiem_viec_lam,thong_bao_hang_thang_ve_viec_tim_kiem_viec_lam_cap_tinh,Trung tâm Dịch vụ việc làm,Trực tuyến | Trực tiếp,N/A | N/A,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfb-2b34-706a-ae42-eb6347b83080
bao_hiem_xa_hoi_that_nghiep_tro_cap,"Bảo hiểm xã hội, thất nghiệp, trợ cấp",1.014750,Tạm dừng hưởng trợ cấp thất nghiệp (Cấp tỉnh),Việc làm,huong_tro_cap_that_nghiep,tam_dung_huong_tro_cap_that_nghiep_cap_tinh,Trung tâm Dịch vụ việc làm; Sở Nội Vụ,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,2 ngày làm việc | 2 ngày làm việc | 2 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfb-2b4b-73b8-8b60-f14096c2d16e
bao_hiem_xa_hoi_that_nghiep_tro_cap,"Bảo hiểm xã hội, thất nghiệp, trợ cấp",1.014751,Tiếp tục hưởng trợ cấp thất nghiệp (Cấp tỉnh),Việc làm,huong_tro_cap_that_nghiep,tiep_tuc_huong_tro_cap_that_nghiep_cap_tinh,Trung tâm Dịch vụ việc làm; Sở Nội Vụ,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,2 ngày làm việc | 2 ngày làm việc | 2 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfb-2b22-766b-bd97-01c0c3344045
bao_hiem_xa_hoi_that_nghiep_tro_cap,"Bảo hiểm xã hội, thất nghiệp, trợ cấp",1.014752,Chấm dứt hưởng trợ cấp thất nghiệp (Cấp tỉnh),Việc làm,huong_tro_cap_that_nghiep,cham_dut_huong_tro_cap_that_nghiep_cap_tinh,Trung tâm Dịch vụ việc làm Cao Bằng; Sở Nội Vụ,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,N/A | N/A | N/A,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfb-2b43-76d3-9c89-73ad2f7e73cb
bao_hiem_xa_hoi_that_nghiep_tro_cap,"Bảo hiểm xã hội, thất nghiệp, trợ cấp",1.014753,Chuyển nơi hưởng trợ cấp thất nghiệp (Cấp tỉnh),Việc làm,huong_tro_cap_that_nghiep,chuyen_noi_huong_tro_cap_that_nghiep_cap_tinh,Trung tâm Dịch vụ việc làm,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,3 ngày làm việc | 3 ngày làm việc | 3 ngày làm việc,0,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfb-2b4f-77da-923b-f2aea995da2a
cap_phep_lao_dong_nguoi_nuoc_ngoai,Cấp phép lao động cho người nước ngoài,1.004527,Cấp lại Giấy phép làm việc cho công dân Ô-xtơ-rây-li-a tham gia Chương trình Lao động kết hợp kỳ nghỉ tại Việt Nam,Việc làm,cap_lai_gpld_ky_nghi_ket_hop_lao_dong,cap_lai_giay_phep_lam_viec_cho_cong_dan_o_xto_ray_li_a_tham_gia_chuong_trinh_lao_dong_ket_hop_ky_nghi_tai_viet_nam,Cục Việc làm,,,0,0,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfa-e4a1-7023-848e-ec1c2140956c
cap_phep_lao_dong_nguoi_nuoc_ngoai,Cấp phép lao động cho người nước ngoài,1.014196,Cấp giấy xác nhận không thuộc diện cấp giấy phép lao động đối với người lao động nước ngoài làm việc tại Việt Nam,Việc làm,cap_xac_nhan_mien_gpld,cap_giay_xac_nhan_khong_thuoc_dien_cap_giay_phep_lao_dong_doi_voi_nguoi_lao_dong_nuoc_ngoai_lam_viec_tai_viet_nam,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp | Trực tuyến | Trực tiếp | Dịch vụ bưu chính,5 ngày làm việc | 5 ngày làm việc | 3 ngày làm việc | 3 ngày làm việc | 5 ngày làm việc | 3 ngày làm việc,15,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfb-2af3-7107-8c4a-405eddc435d2
cap_phep_lao_dong_nguoi_nuoc_ngoai,Cấp phép lao động cho người nước ngoài,1.014197,Cấp lại giấy xác nhận không thuộc diện cấp giấy phép lao động đối với người lao động nước ngoài làm việc tại Việt Nam,Việc làm,cap_lai_xac_nhan_mien_gpld,cap_lai_giay_xac_nhan_khong_thuoc_dien_cap_giay_phep_lao_dong_doi_voi_nguoi_lao_dong_nuoc_ngoai_lam_viec_tai_viet_nam,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,3 ngày làm việc | 3 ngày làm việc | 3 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfb-2af9-73cb-9dbc-1af8c5ddec7b
