persona,group_key,procedure_code,procedure_title,workflow_family,support_level,raw_data_available,in_full_data,in_workflow_dataset,official_membership,expanded_membership,membership_source,field,source_url,notes
citizen,co_con_nho,2.000635,"Cấp bản sao Trích lục hộ tịch, bản sao Giấy khai sinh",birth_registration,workflow_ready,true,true,true,false,true,expanded,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-867c-72db-b6a7-dcbd8c763807,workflow_seed
citizen,co_con_nho,2.000547,"Thủ tục ghi vào Sổ hộ tịch việc hộ tịch khác của công dân Việt Nam đã được giải quyết tại cơ quan có thẩm quyền của nước ngoài (khai sinh; giám hộ; nhận cha, mẹ, con; xác định cha, mẹ, con; nuôi con nuôi; khai tử; thay đổi hộ tịch)",birth_registration,workflow_ready,true,true,true,false,true,expanded,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-8661-77ca-9811-6106ea8c43db,workflow_seed
citizen,co_con_nho,2.000712,Thủ tục ghi vào sổ hộ tịch việc khai sinh đã đăng ký tại cơ quan có thẩm quyền của nước ngoài,birth_registration,workflow_ready,true,true,true,false,true,expanded,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-f1ea-76cf-9fe1-261bc9f8909c,workflow_seed
citizen,co_con_nho,1.004772,"Thủ tục đăng ký khai sinh cho người đã có hồ sơ, giấy tờ cá nhân",birth_registration,workflow_ready,true,true,true,false,true,expanded,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-6711-733d-b674-fc3d805e70c8,workflow_seed
citizen,co_con_nho,1.001020,Thủ tục đăng ký khai sinh cho trẻ em sinh ra ở nước ngoài và có quốc tịch Việt Nam,birth_registration,workflow_ready,true,true,true,false,true,expanded,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-e9ed-7699-8e8f-77f37e22b6d2,workflow_seed
citizen,co_con_nho,1.000893,"Thủ tục đăng ký khai sinh có yếu tố nước ngoài cho người đã có hồ sơ, giấy tờ cá nhân",birth_registration,workflow_ready,true,true,true,false,true,expanded,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-3faf-768a-9224-a27e812b1907,workflow_seed
citizen,co_con_nho,1.003583,Thủ tục đăng ký khai sinh lưu động,birth_registration,workflow_ready,true,true,true,false,true,expanded,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-66dc-714a-90a8-11942739ea86,workflow_seed
citizen,co_con_nho,1.004884,Thủ tục đăng ký lại khai sinh,birth_registration,workflow_ready,true,true,true,false,true,expanded,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-6eac-7598-b88b-15f8a61b366a,workflow_seed
citizen,co_con_nho,2.000522,Thủ tục đăng ký lại khai sinh có yếu tố nước ngoài,birth_registration,workflow_ready,true,true,true,false,true,expanded,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-867a-70eb-bc54-effd523ebc99,workflow_seed
citizen,co_con_nho,1.004222,Đăng ký thường trú,residence_management,workflow_ready,true,true,true,true,false,official,"Đăng ký, quản lý cư trú",https://vpcp.dichvucong.gov.vn/p/home/dvc-chi-tiet-thu-tuc-hanh-chinh.html?ma_thu_tuc=1.004222,
