Mã số,Tên,Cơ quan ban hành,Cơ quan thực hiện,Lĩnh vực,URL
1.001194,Đăng ký kết hôn,Công an cấp Xã,Công an cấp Xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-5f69-70ab-9d13-d5340d911532
1.001195,Đăng ký ly hôn,Công an cấp Xã,Công an cấp Xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-ad8e-7447-a092-4dc01d1ba2da
1.001196,Đăng ký thay đổi họ tên,Công an cấp Xã,Công an cấp Xã,Hộ tịch,
1.001197,Đăng ký chứng thực giấy khai báo sau khi kết hôn của phụ nữ,Công an cấp Xã,Công an cấp Xã,Hộ tịch,
1.001198,Đăng ký hủy kết hôn,Công an cấp Xã,Công an cấp Xã,Hộ tịch,
1.001199,Đăng ký tử vong,Công an cấp Xã,Công an cấp Xã,Hộ tịch,
1.001200,Đăng ký hủy tử vong,Công an cấp Xã,Công an cấp Xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-5f66-7658-b87a-e989fe923e7a
1.001205,Đăng ký chứng thực kết quả nuôi dưỡng con chung - con riêng sau ly hôn,Công an cấp Xã,Công an cấp Xã,Hộ tịch,
1.001206,Đăng ký chứng thực thoả thuận về cách thức nuôi dưỡng con chung sau ly hôn,Công an cấp Xã,Công an cấp Xã,Hộ tịch,
1.001207,Đăng ký chứng thực thoả thuận chia tài sản chung sau ly hôn,Công an cấp Xã,Công an cấp Xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bff-9323-7439-9d66-df4cbe542ccd
1.001212,Hủy lệnh cấm kết hôn,Công an cấp Xã,Công an cấp Xã,Hộ tịch,
1.001213,Hủy lệnh cấm li hôn,Công an cấp Xã,Công an cấp Xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-adc4-730c-83a7-f58174f1ed15
1.001214,Hủy lệnh cấm kết hôn lần thứ ba,Công an cấp Xã,Công an cấp Xã,Hộ tịch,
1.001215,Đăng ký chứng thực giấy hủy hoặc sửa đổi hủy trong các trường hợp đăng ký kết hôn,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001216,Đăng ký chứng thực các giấy ghi chép về việc đúc vợ/chồng cũ nhập tịch nước ngoài,Bộ Công an,Công an cấp Xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-3fe5-746a-9f8a-0004a5aef710
1.001217,Giải quyết tranh chấp về dân sự thượng tình thuộc lĩnh vực hộ tịch,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001218,Cấp lại giấy khai sinh,Công an cấp Xã,bản chứng thực),Hộ tịch,
1.001219,Cấp lại giấy kết hôn,Công an cấp Xã,bản chứng thực),Hộ tịch,
1.001220,Cấp lại giấy ly hôn,Công an cấp Xã,bản chứng thực),Hộ tịch,
1.001221,Cấp lại giấy tử vong,Công an cấp Xã,bản chứng thực),Hộ tịch,
1.001222,Chứng thực bản sao giấy khai sinh do cơ quan hộ tịch của nước ngoài cấp,Bộ Công an,Công an cấp Xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-ef15-737f-a3b4-39c82c540a9e
1.001223,Chứng thực bản sao giấy kết hôn do cơ quan hộ tịch của nước ngoài cấp,Bộ Công an,Công an cấp Xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-0b8c-75cb-8ca6-6956b5d91632
1.001224,Chứng thực bản sao giấy tử vong do cơ quan hộ tịch của nước ngoài cấp,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001225,Đăng ký chứng thực kết quả xét tư cách cha/mẹ đối với người mà Luật Hôn nhân và Gia đình quy định,Bộ Công an,Công an cấp Xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-ef0c-735d-b4c5-5fd7f3ca909e
1.001226,Đăng ký chứng thực kết quả xét tư cách mẹ,Bộ Công an,Công an cấp Xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-5f64-749f-b550-79b243ce8fb3
1.001227,Đăng ký chứng thực kết quả xét tư cách cha,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001228,Đăng ký chứng thực kết quả chấm dứt quan hệ cha con do pháp luật quy định,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001229,Đăng ký chứng thực kết quả nuôi dưỡng con,Bộ Công an,Công an cấp Xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-ad95-76ce-9674-a75dedc2d319
1.001230,Đăng ký chứng thực kết quả làm cha kế/mẹ kế,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001231,Đăng ký chứng thực kết quả nuôi dưỡng con riêng,Bộ Công an,Công an cấp Xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-ea00-77d8-b663-d4eaf66a5464
1.001232,Đăng ký chứng thực kết quả chấm dứt quan hệ nuôi dưỡng,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001233,Đăng ký chứng thực quyết định giao quyền chăm sóc,nuôi dưỡng con,Bộ Công an,Công an cấp Xã,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-3feb-7620-a08b-36d3d15bb289
1.001234,Đăng ký chứng thực kết quả cấp hộ chiếu cho con từ nước ngoài,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001235,Đăng ký chứng thực bản hợp tác hôn nhân/tài sản chung,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001236,Đăng ký chứng thực bản cam kết về chế độ tài sản riêng,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001237,Đăng ký chứng thực bản đơn phương về chế độ tài sản riêng,Bộ Công an,Công an cấp Xã,Hộ tịch,
