procedure_code,error
2.001194,HTTP 400
2.000200,HTTP 400
2.001195,HTTP 400
1.010382,HTTP 400
1.010384,HTTP 400
1.010385,HTTP 400
2.000539,HTTP 400
1.010386,HTTP 400
3.000001,HTTP 400
6.003631,"HTTPSConnectionPool(host='dichvucong.gov.vn', port=443): Read timed out. (read timeout=20)"
3.000163,HTTP 400
3.000165,HTTP 400
3.000164,HTTP 400
1.004889,HTTP 400
1.005095,HTTP 400
1.005108,HTTP 400
1.001895,HTTP 400
2.001904,HTTP 400
1.001912,HTTP 400
1.001942,HTTP 400
1.005098,HTTP 400
1.005142,HTTP 400
2.001959,HTTP 400
2.001960,HTTP 400
1.002982,HTTP 400
1.003702,HTTP 400
1.002543,HTTP 400
1.002499,HTTP 400
1.003198,HTTP 400
1.005090,HTTP 400
1.003734,HTTP 400
1.005086,HTTP 400
1.004878,HTTP 400
1.003976,HTTP 400
2.001255,HTTP 400
2.001263,HTTP 400
1.003213,HTTP 400
1.003179,HTTP 400
2.000762,HTTP 400
2.000717,HTTP 400
2.000605,HTTP 400
2.000740,HTTP 400
1.002179,HTTP 400
2.000821,HTTP 400
1.001731,HTTP 400
2.000693,HTTP 400
1.002759,HTTP 400
1.001939,HTTP 400
1.001692,HTTP 400
2.001830,HTTP 400
2.000907,HTTP 400
2.000725,HTTP 400
1.004527,HTTP 400
2.000902,HTTP 400
2.000731,HTTP 400
