Mã số,Tên,Cơ quan ban hành,Cơ quan thực hiện,Lĩnh vực,URL
3.000611,"Đánh giá, phân hạng sản phẩm OCOP",Bộ Nông nghiệp và Môi trường,Cơ quan chuyên môn về Nông nghiệp và Môi trường thuộc UBND cấp xã,Kinh tế hợp tác và Phát triển nông thôn,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f6b18-eb9c-77ec-b74c-bae23f52f669
1.115753,"Đăng ký, cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất đối với trường hợp tặng cho quyền sử dụng đất cho Nhà nước hoặc cộng đồng dân cư hoặc mở rộng đường giao thông",UBND tỉnh Lạng Sơn,Phòng Kinh tế; Ủy ban nhân dân cấp xã; Chi nhánh Văn phòng đăng ký đất đai khu vực,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f6a50-79a6-7351-ab51-cb211b12dc58
1.115752,"Giao đất ở có thu tiền sử dụng đất không thông qua đấu giá, không đấu thầu lựa chọn nhà đầu tư thực hiện dự án có sử dụng đất đối với cá nhân là cán bộ, công chức, viên chức, sĩ quan tại ngũ, quân nhân chuyên nghiệp, công chức quốc phòng, công nhân và viên chức quốc phòng, sĩ quan, hạ sĩ quan, công nhân công an, người làm công tác cơ yếu và người làm công tác khác trong tổ chức cơ yếu hưởng lương từ ngân sách nhà nước mà chưa được giao đất ở, nhà ở; giáo viên, nhân viên y tế đang công tác tại các xã biên giới, hải đảo thuộc vùng có điều kiện kinh tế - xã hội khó khăn, vùng có điều kiện kinh tế - xã hội đặc biệt khó khăn nhưng chưa có đất ở, nhà ở tại nơi công tác hoặc chưa được hưởng chính sách hỗ trợ về nhà ở theo quy định của pháp luật về nhà ở; cá nhân thường trú tại xã mà không có đất ở và chưa được Nhà nước giao đất ở hoặc chưa được hưởng chính sách hỗ trợ về nhà ở theo quy định của pháp luật về nhà ở",UBND tỉnh Lạng Sơn,"Phòng Kinh tế, Hạ tầng và Đô thị; Phòng Kinh tế",Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f6a36-cf95-7769-a308-fbd3a1d444b2
1.115751,"Xác định lại diện tích đất ở của hộ gia đình, cá nhân đã được cấp Giấy chứng nhận trước ngày 01 tháng 7 năm 2004",UBND tỉnh Lạng Sơn,"Phòng Kinh tế, Hạ tầng và Đô thị; Phòng Kinh tế; Chi nhánh Văn phòng đăng ký đất đai khu vực",Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f6a2d-dca2-7179-9ebc-234bff669259
1.115750,"Cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất lần đầu (cấp xã)",UBND tỉnh Lạng Sơn,"Phòng Kinh tế, Hạ tầng và Đô thị; Phòng Kinh tế; Ủy ban nhân dân cấp xã",Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f6a25-cfaa-754c-bfaa-afc26493236f
1.115749,Tổ chức kinh tế thỏa thuận nhận quyền sử dụng đất để thực hiện dự án (cấp xã),UBND tỉnh Lạng Sơn,Cơ quan quản lý đất đai cấp xã,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f6a17-f2dc-7338-b00a-4a92d18149f5
1.115748,"Đăng ký đất đai, tài sản gắn liền với đất lần đầu đối với cá nhân, cộng đồng dân cư, hộ gia đình đang sử dụng đất",UBND tỉnh Lạng Sơn,Cơ quan quản lý đất đai cấp xã; Ủy ban nhân dân cấp xã,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f6a12-1bc6-7590-a975-242c20d1cb97
1.115747,"Điều chỉnh quyết định giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất (cấp xã)",UBND tỉnh Lạng Sơn,Cơ quan quản lý đất đai cấp xã,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f6a11-f808-7404-8af3-00de30d8eedb
1.115746,Chuyển hình thức sử dụng đất; gia hạn sử dụng đất khi hết thời hạn sử dụng đất; điều chỉnh thời hạn sử dụng đất (cấp xã),UBND tỉnh Lạng Sơn,"Phòng Kinh tế; Phòng Kinh tế, Hạ tầng và Đô thị",Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f6a07-7fc4-7476-8597-28dce676851e
1.115745,"Thu hồi, hủy Giấy chứng nhận đã cấp và cấp Giấy chứng nhận (Cấp xã) quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất sau khi thu hồi Giấy chứng nhận đã cấp",UBND tỉnh Lạng Sơn,Ủy ban nhân dân cấp xã; Chi nhánh Văn phòng đăng ký đất đai khu vực,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f6a00-b6d0-7482-852d-24f38b450cf3
